Name,Jersey Number,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Bernd Leno,1.0,Germany,28.0,64.0,28,16,13.198738170347003,,,,,,,119.52452830188679,,,,,14.0,82.0,,,,,,,,,,,,,,,0.0,7.0,9.090361445783133,1783.0,27.86,,,,,234.0,222.0,1.0,34.0,26.0,17.0,28.0,375.0,489.0,2,0,0,
Matt Macey,33.0,England,26.0,81.7006237006237,0,0,13.198738170347003,,,,,,,119.52452830188679,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,2747.585416666667,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
Rúnar Alex Rúnarsson,13.0,Iceland,25.0,81.7006237006237,0,0,13.198738170347003,,,,,,,119.52452830188679,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,2747.585416666667,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
Héctor Bellerín,2.0,Spain,25.0,160.0,90,37,7.0,,0.0,4.0,3.0,,,119.52452830188679,,,3.0,,53.0,166.0,214.0,78%,1.0,32.0,208.0,304.0,143.0,3.0,732.0,611.0,709.0,196.0,161.0,215.0,1.0,1.0,18.0,7125.0,44.53,28.0,389.0,16%,31.0,144.0,,,,,,,,,23,0,125,8.0
Kieran Tierney,3.0,Scotland,23.0,16.0,7,5,1.0,,0.0,0.0,1.0,,,119.52452830188679,,,0.0,,2.0,16.0,21.0,81%,0.0,1.0,12.0,32.0,12.0,0.0,63.0,55.0,38.0,12.0,10.0,16.0,0.0,0.0,1.0,519.0,32.44,1.0,45.0,18%,0.0,22.0,,,,,,,,,2,0,9,0.0
William Saliba,4.0,France,19.0,81.7006237006237,0,0,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Sokratis,5.0,Greece,32.0,44.0,21,11,3.0,,1.0,2.0,0.0,,,119.52452830188679,,,1.0,,9.0,58.0,67.0,61%,1.0,4.0,43.0,175.0,82.0,1.0,173.0,227.0,160.0,11.0,115.0,73.0,0.0,1.0,2.0,2416.0,54.91,4.0,1.0,1%,2.0,172.0,,,,,,,,,18,0,56,1.0
Rob Holding,16.0,England,25.0,41.0,25,9,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,10.0,45.0,50.0,70%,1.0,3.0,54.0,170.0,92.0,0.0,192.0,176.0,142.0,19.0,96.0,64.0,0.0,0.0,9.090361445783133,2200.0,53.66,0.0,3.0,67%,1.0,116.0,,,,,,,,,8,0,32,0.0
Shkodran Mustafi,20.0,Germany,28.0,99.0,52,26,7.0,,6.0,1.0,0.0,,,119.52452830188679,,,2.0,,26.0,117.0,197.0,73%,2.0,14.0,195.0,531.0,345.0,2.0,455.0,670.0,416.0,26.0,413.0,218.0,0.0,3.0,4.0,5907.0,59.67,5.0,45.0,20%,13.0,273.0,,,,,,,,,28,0,117,7.0
Calum Chambers,21.0,England,25.0,139.0,47,57,6.0,,1.0,4.0,1.0,,,119.52452830188679,,,1.0,,28.0,170.0,257.0,70%,1.0,22.0,247.0,537.0,301.0,1.0,735.0,703.0,619.0,93.0,301.0,240.0,1.0,1.0,3.0,5935.0,42.7,9.0,210.0,18%,4.0,304.0,,,,,,,,,28,1,137,2.0
David Luiz,23.0,Brazil,33.0,194.0,113,38,13.0,,6.0,6.0,1.0,,,119.52452830188679,,,5.0,,64.0,173.0,240.0,74%,4.0,59.0,344.0,832.0,443.0,2.0,1042.0,846.0,680.0,80.0,344.0,256.0,1.0,4.0,7.0,10165.0,52.4,22.0,67.0,28%,79.0,980.0,,,,,,,,,40,3,212,5.0
Sead Kolasinac,31.0,Bosnia And Herzegovina,27.0,78.0,40,22,2.0,,0.0,0.0,2.0,,,119.52452830188679,,,1.0,,17.0,86.0,112.0,66%,0.0,11.0,72.0,111.0,68.0,0.0,365.0,284.0,264.0,41.0,97.0,80.0,0.0,1.0,11.0,3201.0,41.04,18.0,123.0,20%,3.0,67.0,,,,,,,,,12,0,74,16.0
Gabriel Magalhães,6.0,Brazil,22.0,2.0,2,0,1.0,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,1.0,1.0,2.0,2%,0.0,0.0,2.0,8.0,7.0,1.0,6.0,8.0,7.0,0.0,4.0,3.0,0.0,0.0,9.090361445783133,197.0,98.5,0.0,0.0,0%,0.0,6.0,,,,,,,,,0,0,3,0.0
Mesut Özil,10.0,Germany,31.0,184.0,100,39,33.0,0.18,4.0,4.0,25.0,0.0,1.0,205.0,92.0,45%,7.0,26.0,,,161.0,68%,,58.0,75.0,37.0,13.0,,778.0,625.0,744.0,248.0,28.0,83.0,,2.0,54.0,11186.0,60.79,65.0,834.0,35%,121.0,276.0,,,,,,,,,13,0,95,83.0
Lucas Torreira,11.0,Uruguay,24.0,63.0,28,15,3.0,0.05,0.0,3.0,0.0,0.0,0.0,46.0,12.0,26%,1.0,1.0,,,96.0,57%,,10.0,75.0,53.0,22.0,,327.0,276.0,212.0,30.0,32.0,47.0,,0.0,3.0,2493.0,39.57,3.0,40.0,28%,4.0,94.0,,,,,,,,,14,1,62,0.0
Ainsley Maitland-Niles,15.0,England,23.0,54.0,26,16,1.0,0.02,0.0,1.0,0.0,0.0,0.0,14.0,4.0,29%,1.0,1.0,,,101.0,62%,,3.0,62.0,66.0,29.0,,223.0,218.0,207.0,58.0,29.0,38.0,,0.0,3.0,1867.0,34.57,4.0,57.0,21%,2.0,74.0,,,,,,,,,6,2,35,1.0
Mohamed Elneny,25.0,Egypt,28.0,47.0,29,10,13.198738170347003,47.0,0.0,0.0,0.0,0.0,0.0,44.0,5.0,11%,0.0,2.0,,,57.0,54%,,22.0,41.0,41.0,15.0,,211.0,109.0,107.0,11.0,18.0,34.0,,0.0,3.0,2532.0,53.87,2.0,30.0,13%,4.0,83.0,,,,,,,,,7,1,24,2.0
Joseph Willock,28.0,England,21.0,33.0,12,12,1.0,0.03,0.0,1.0,0.0,0.0,0.0,18.0,5.0,28%,0.0,2.0,,,30.0,60%,,4.0,6.0,10.0,4.0,,64.0,75.0,76.0,21.0,9.0,18.0,,0.0,1.0,398.0,12.06,1.0,9.0,22%,3.0,15.0,,,,,,,,,2,0,13,0.0
Matteo Guendouzi,29.0,France,21.0,57.0,24,17,13.198738170347003,57.0,0.0,0.0,0.0,0.0,0.0,27.0,9.0,33%,1.0,1.0,,,75.0,56%,,11.0,59.0,58.0,29.0,,284.0,263.0,217.0,47.0,31.0,40.0,,1.0,1.0,2750.0,48.25,4.0,21.0,10%,16.0,148.0,,,,,,,,,15,0,41,0.0
Emile Smith Rowe,32.0,England,20.0,2.0,0,1,13.198738170347003,2.0,0.0,0.0,0.0,0.0,0.0,119.52452830188679,0.0,0%,0.0,0.0,,,1.0,100%,,0.0,1.0,2.0,2.0,,5.0,4.0,4.0,2.0,0.0,0.0,,0.0,9.090361445783133,35.0,17.5,0.0,1.0,1%,0.0,0.0,,,,,,,,,0,0,0,0.0
Granit Xhaka,34.0,Switzerland,27.0,132.0,70,33,8.0,0.06,0.0,0.0,8.0,0.0,2.0,144.0,41.0,28%,2.0,1.0,,,254.0,66%,,40.0,133.0,208.0,129.0,,885.0,650.0,607.0,69.0,181.0,173.0,,7.0,13.0,9739.0,73.78,12.0,274.0,25%,35.0,673.0,,,,,,,,,35,2,196,2.0
