Name,Jersey Number,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Club_encoded,Position_encoded
Bernd Leno,1.0,Germany,28.0,0.11710037174721188,28,16,0.06814937525333523,,,,,,,119.5245283018868,,,,,14.0,82.0,,,,,,,,,,,,,,,0.0,7.0,0.09747423428654378,0.09938096034800067,27.86,,,,,234.0,222.0,1.0,34.0,26.0,17.0,28.0,375.0,489.0,2,0,0,,0,2
Matt Macey,33.0,England,26.0,0.15000115929483956,0,0,0.06814937525333523,,,,,,,119.5245283018868,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.09747423428654378,0.1531752504972766,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,2
Rúnar Alex Rúnarsson,13.0,Iceland,25.0,0.15000115929483956,0,0,0.06814937525333523,,,,,,,119.5245283018868,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.09747423428654378,0.1531752504972766,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,2
Héctor Bellerín,2.0,Spain,25.0,0.295539033457249,90,37,0.0335195530726257,,0.0,4.0,3.0,,,119.5245283018868,,,3.0,,53.0,166.0,214.0,78%,1.0,32.0,208.0,304.0,143.0,3.0,732.0,611.0,709.0,196.0,161.0,215.0,1.0,1.0,0.20481927710843373,0.39730076403993086,44.53,28.0,389.0,16%,31.0,144.0,,,,,,,,,23,0,125,8.0,0,0
Kieran Tierney,3.0,Scotland,23.0,0.027881040892193308,7,5,0.0,,0.0,0.0,1.0,,,119.5245283018868,,,0.0,,2.0,16.0,21.0,81%,0.0,1.0,12.0,32.0,12.0,0.0,63.0,55.0,38.0,12.0,10.0,16.0,0.0,0.0,0.0,0.0288885170933021,32.44,1.0,45.0,18%,0.0,22.0,,,,,,,,,2,0,9,0.0,0,0
William Saliba,4.0,France,19.0,0.15000115929483956,0,0,0.06814937525333523,,0.0,0.0,0.0,,,119.5245283018868,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09747423428654378,0.1531752504972766,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,0,0
Sokratis,5.0,Greece,32.0,0.07992565055762081,21,11,0.011173184357541898,,1.0,2.0,0.0,,,119.5245283018868,,,1.0,,9.0,58.0,67.0,61%,1.0,4.0,43.0,175.0,82.0,1.0,173.0,227.0,160.0,11.0,115.0,73.0,0.0,1.0,0.012048192771084338,0.1346829513133679,54.91,4.0,1.0,1%,2.0,172.0,,,,,,,,,18,0,56,1.0,0,0
Rob Holding,16.0,England,25.0,0.07434944237918215,25,9,0.06814937525333523,,0.0,0.0,0.0,,,119.5245283018868,,,0.0,,10.0,45.0,50.0,70%,1.0,3.0,54.0,170.0,92.0,0.0,192.0,176.0,142.0,19.0,96.0,64.0,0.0,0.0,0.09747423428654378,0.12263677430148905,53.66,0.0,3.0,67%,1.0,116.0,,,,,,,,,8,0,32,0.0,0,0
Shkodran Mustafi,20.0,Germany,28.0,0.18215613382899626,52,26,0.0335195530726257,,6.0,1.0,0.0,,,119.5245283018868,,,2.0,,26.0,117.0,197.0,73%,2.0,14.0,195.0,531.0,345.0,2.0,455.0,670.0,416.0,26.0,413.0,218.0,0.0,3.0,0.03614457831325302,0.3293737103340584,59.67,5.0,45.0,20%,13.0,273.0,,,,,,,,,28,0,117,7.0,0,0
Calum Chambers,21.0,England,25.0,0.25650557620817843,47,57,0.027932960893854747,,1.0,4.0,1.0,,,119.5245283018868,,,1.0,,28.0,170.0,257.0,70%,1.0,22.0,247.0,537.0,301.0,1.0,735.0,703.0,619.0,93.0,301.0,240.0,1.0,1.0,0.02409638554216868,0.3309352517985612,42.7,9.0,210.0,18%,4.0,304.0,,,,,,,,,28,1,137,2.0,0,0
David Luiz,23.0,Brazil,33.0,0.3587360594795539,113,38,0.06703910614525141,,6.0,6.0,1.0,,,119.5245283018868,,,5.0,,64.0,173.0,240.0,74%,4.0,59.0,344.0,832.0,443.0,2.0,1042.0,846.0,680.0,80.0,344.0,256.0,1.0,4.0,0.07228915662650603,0.5668395516145223,52.4,22.0,67.0,28%,79.0,980.0,,,,,,,,,40,3,212,5.0,0,0
Sead Kolasinac,31.0,Bosnia And Herzegovina,27.0,0.14312267657992564,40,22,0.00558659217877095,,0.0,0.0,2.0,,,119.5245283018868,,,1.0,,17.0,86.0,112.0,66%,0.0,11.0,72.0,111.0,68.0,0.0,365.0,284.0,264.0,41.0,97.0,80.0,0.0,1.0,0.12048192771084339,0.17846188165746474,41.04,18.0,123.0,20%,3.0,67.0,,,,,,,,,12,0,74,16.0,0,0
Gabriel Magalhães,6.0,Brazil,22.0,0.0018587360594795538,2,0,0.0,,0.0,0.0,0.0,,,119.5245283018868,,,0.0,,1.0,1.0,2.0,2%,0.0,0.0,2.0,8.0,7.0,1.0,6.0,8.0,7.0,0.0,4.0,3.0,0.0,0.0,0.09747423428654378,0.010930790251519714,98.5,0.0,0.0,0%,0.0,6.0,,,,,,,,,0,0,3,0.0,0,0
Mesut Özil,10.0,Germany,31.0,0.34014869888475835,100,39,0.1787709497206704,0.18,4.0,4.0,25.0,0.0,1.0,205.0,92.0,45%,7.0,26.0,,,161.0,68%,,58.0,75.0,37.0,13.0,,778.0,625.0,744.0,248.0,28.0,83.0,,2.0,0.6385542168674698,0.6237800457308571,60.79,65.0,834.0,35%,121.0,276.0,,,,,,,,,13,0,95,83.0,0,3
Lucas Torreira,11.0,Uruguay,24.0,0.11524163568773232,28,15,0.011173184357541898,0.05,0.0,3.0,0.0,0.0,0.0,46.0,12.0,26%,1.0,1.0,,,96.0,57%,,10.0,75.0,53.0,22.0,,327.0,276.0,212.0,30.0,32.0,47.0,,0.0,0.02409638554216868,0.13897719034075065,39.57,3.0,40.0,28%,4.0,94.0,,,,,,,,,14,1,62,0.0,0,3
Ainsley Maitland-Niles,15.0,England,23.0,0.09851301115241634,26,16,0.0,0.02,0.0,1.0,0.0,0.0,0.0,14.0,4.0,29%,1.0,1.0,,,101.0,62%,,3.0,62.0,66.0,29.0,,223.0,218.0,207.0,58.0,29.0,38.0,,0.0,0.02409638554216868,0.10406558474150912,34.57,4.0,57.0,21%,2.0,74.0,,,,,,,,,6,2,35,1.0,0,3
Mohamed Elneny,25.0,Egypt,28.0,0.08550185873605946,29,10,0.06814937525333523,47.0,0.0,0.0,0.0,0.0,0.0,44.0,5.0,11%,0.0,2.0,,,57.0,54%,,22.0,41.0,41.0,15.0,,211.0,109.0,107.0,11.0,18.0,34.0,,0.0,0.02409638554216868,0.141152194523451,53.87,2.0,30.0,13%,4.0,83.0,,,,,,,,,7,1,24,2.0,0,3
Joseph Willock,28.0,England,21.0,0.05947955390334572,12,12,0.0,0.03,0.0,1.0,0.0,0.0,0.0,18.0,5.0,28%,0.0,2.0,,,30.0,60%,,4.0,6.0,10.0,4.0,,64.0,75.0,76.0,21.0,9.0,18.0,,0.0,0.0,0.022140427193129218,12.06,1.0,9.0,22%,3.0,15.0,,,,,,,,,2,0,13,0.0,0,3
