Name,Appearances,Goals,Goals per match,Shots,Shots on target,Shooting accuracy %,Assists,Passes,Passes per match,Big chances created,Accurate long balls,Through balls,Crosses,Cross accuracy %,Tackles,Tackle success %,Interceptions,Blocked shots,Clearances,Recoveries,Duels won,Successful 50/50s,Aerial battles won,Errors leading to goal,Fouls,Yellow cards,Red cards
Bernd Leno,64,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,1783,27.86,12.24477612,234,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,7,70.25986079,2,1.495652174
Matt Macey,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Rúnar Alex Rúnarsson,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Héctor Bellerín,160,7,2.922714286,119.5245283,45.628,33.44150943,18,7125,44.53,28,144,31,389,16,214,78,208,32,304,732,611,196,161,1,125,23,1.495652174
Kieran Tierney,16,1,2.922714286,119.5245283,45.628,33.44150943,1,519,32.44,1,22,14.35622318,45,18,21,81,12,1,32,63,55,12,10,2.790055249,9,2,1.495652174
William Saliba,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Sokratis,44,3,2.922714286,119.5245283,45.628,33.44150943,2,2416,54.91,4,172,2,1,1,67,61,43,4,175,173,227,11,115,1,56,18,1.495652174
Rob Holding,41,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2200,53.66,12.24477612,116,1,3,67,50,70,54,3,170,192,176,19,96,2.790055249,32,8,1.495652174
Shkodran Mustafi,99,7,2.922714286,119.5245283,45.628,33.44150943,4,5907,59.67,5,273,13,45,20,197,73,195,14,531,455,670,26,413,3,117,28,1.495652174
Calum Chambers,139,6,2.922714286,119.5245283,45.628,33.44150943,3,5935,42.7,9,304,4,210,18,257,70,247,22,537,735,703,93,301,1,137,28,1
David Luiz,194,13,2.922714286,119.5245283,45.628,33.44150943,7,10165,52.4,22,980,79,67,28,240,74,344,59,832,1042,846,80,344,4,212,40,3
Sead Kolasinac,78,2,2.922714286,119.5245283,45.628,33.44150943,11,3201,41.04,18,67,3,123,20,112,66,72,11,111,365,284,41,97,1,74,12,1.495652174
Gabriel Magalhães,2,1,2.922714286,119.5245283,45.628,33.44150943,9.090361446,197,98.5,12.24477612,6,14.35622318,153.01,20.99009901,2,2,2,27.512,8,6,8,61.37060703,4,2.790055249,3,11.86614173,1.495652174
Mesut Özil,184,33,0.18,205,92,45,54,11186,60.79,65,276,121,834,35,161,68,75,58,37,778,625,248,28,2,95,13,1.495652174
Lucas Torreira,63,3,0.05,46,12,26,3,2493,39.57,3,94,4,40,28,96,57,75,10,53,327,276,30,32,2.790055249,62,14,1
Ainsley Maitland-Niles,54,1,0.02,14,4,29,3,1867,34.57,4,74,2,57,21,101,62,62,3,66,223,218,58,29,2.790055249,35,6,2
Mohamed Elneny,47,13.19873817,47,44,5,11,3,2532,53.87,2,83,4,30,13,57,54,41,22,41,211,109,11,18,2.790055249,24,7,1
Joseph Willock,33,1,0.03,18,5,28,1,398,12.06,1,15,3,9,22,30,60,6,4,10,64,75,21,9,2.790055249,13,2,1.495652174
Matteo Guendouzi,57,13.19873817,57,27,9,33,1,2750,48.25,4,148,16,21,10,75,56,59,11,58,284,263,47,31,1,41,15,1.495652174
Emile Smith Rowe,2,13.19873817,2,119.5245283,45.628,33.44150943,9.090361446,35,17.5,12.24477612,236.3481894,14.35622318,1,1,1,100,1,27.512,2,5,4,2,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Granit Xhaka,132,8,0.06,144,41,28,13,9739,73.78,12,673,35,274,25,254,66,133,40,208,885,650,69,181,7,196,35,2
Bukayo Saka,28,1,0.04,15,4,27,5,716,25.57,6,236.3481894,14.35622318,69,20.99009901,36,63.59752322,12,5,12,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,22,6,1.495652174
Dani Ceballos,26,13.19873817,26,14,3,21,3,1372,52.77,2,81,7,71,14,49,51,37,6,14,163,127,30,12,2.790055249,21,1,1.495652174
Alexandre Lacazette,99,39,0.39,204,93,46,16,2045,20.66,15,236.3481894,14.35622318,60,20.99009901,92,63.59752322,30,44,49,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,127,11,1.495652174
Pierre-Emerick Aubameyang,87,55,0.63,222,105,47,13,1880,21.61,17,236.3481894,14.35622318,155,20.99009901,58,63.59752322,25,52,38,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,30,4,1
Nicolas Pépé,33,5,0.15,51,18,35,6,723,21.91,8,236.3481894,14.35622318,113,20.99009901,32,63.59752322,8,14,4,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,14,4,1.495652174
Reiss Nelson,20,1,0.05,13,4,31,9.090361446,286,14.3,12.24477612,236.3481894,14.35622318,25,20.99009901,15,63.59752322,6,5,2,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,8,1,1.495652174
Eddie Nketiah,23,4,0.17,20,8,40,9.090361446,172,7.48,1,236.3481894,14.35622318,1,20.99009901,9,63.59752322,2,4,6,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,18,11.86614173,1
Gabriel Martinelli,14,3,0.21,12,5,42,9.090361446,116,8.29,12.24477612,2,1,22,22,20,75,3,2,5,34,46,9,8,2.790055249,9,1,1.495652174
Willian,236,37,0.16,393,145,37,35,8290,35.13,51,236.3481894,14.35622318,1009,20.99009901,246,63.59752322,100,111,54,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,131,21,1
Tom Heaton,116,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,3290,28.36,12.24477612,1067,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,3,2,5,1.495652174
Jed Steer,2,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,32,16,12.24477612,6,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Ørjan Nyland,7,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,152,21.71,12.24477612,35,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
